timestamp,ADA_close,BTC_close
2025-09-19 10:00:00,0.903369,116575.0
2025-09-19 11:00:00,0.896311,116428.2
2025-09-19 12:00:00,0.899761,116195.0
2025-09-19 13:00:00,0.906768,116381.1
2025-09-19 14:00:00,0.899462,115915.3
2025-09-19 15:00:00,0.897148,115939.1
2025-09-19 16:00:00,0.904919,116150.0
2025-09-19 17:00:00,0.8977,115650.1
2025-09-19 18:00:00,0.896414,115463.2
2025-09-19 19:00:00,0.895401,115187.3
2025-09-19 20:00:00,0.893001,115359.7
2025-09-19 21:00:00,0.896799,115510.2
2025-09-19 22:00:00,0.896221,115698.9
2025-09-19 23:00:00,0.890624,115677.2
2025-09-20 00:00:00,0.8972,115700.0
2025-09-20 01:00:00,0.895323,115739.4
2025-09-20 02:00:00,0.896547,115561.3
2025-09-20 03:00:00,0.894608,115549.9
2025-09-20 04:00:00,0.894987,115613.1
2025-09-20 05:00:00,0.899503,115773.8
2025-09-20 06:00:00,0.90217,115772.0
2025-09-20 07:00:00,0.90563,115999.9
2025-09-20 08:00:00,0.894866,115782.0
2025-09-20 09:00:00,0.891701,115725.0
2025-09-20 10:00:00,0.889416,115788.4
2025-09-20 11:00:00,0.895323,115936.2
2025-09-20 12:00:00,0.895213,115921.0
2025-09-20 13:00:00,0.896647,115973.5
2025-09-20 14:00:00,0.898745,116085.9
2025-09-20 15:00:00,0.900309,116034.2
2025-09-20 16:00:00,0.899298,116081.8
2025-09-20 17:00:00,0.89438,115873.7
2025-09-20 18:00:00,0.891915,115788.0
2025-09-20 19:00:00,0.891837,115777.6
2025-09-20 20:00:00,0.894771,115827.6
2025-09-20 21:00:00,0.896568,115871.8
2025-09-20 22:00:00,0.896238,115844.2
2025-09-20 23:00:00,0.893371,115739.1
2025-09-21 00:00:00,0.896482,115720.0
2025-09-21 01:00:00,0.892663,115622.2
2025-09-21 02:00:00,0.896901,115720.0
2025-09-21 03:00:00,0.898853,115712.6
2025-09-21 04:00:00,0.898085,115569.9
2025-09-21 05:00:00,0.899714,115675.0
2025-09-21 06:00:00,0.900102,115825.8
2025-09-21 07:00:00,0.899901,115849.9
2025-09-21 08:00:00,0.892689,115662.5
2025-09-21 09:00:00,0.8864,115700.0
2025-09-21 10:00:00,0.882101,115590.0
2025-09-21 11:00:00,0.883645,115662.9
2025-09-21 12:00:00,0.8861,115783.7
2025-09-21 13:00:00,0.888564,115700.3
2025-09-21 14:00:00,0.885672,115615.1
2025-09-21 15:00:00,0.886635,115600.0
2025-09-21 16:00:00,0.88,115375.9
2025-09-21 17:00:00,0.886978,115600.1
2025-09-21 18:00:00,0.89,115593.1
2025-09-21 19:00:00,0.88881,115518.2
2025-09-21 20:00:00,0.887368,115437.4
2025-09-21 21:00:00,0.885248,115411.8
2025-09-21 22:00:00,0.888206,115541.0
2025-09-21 23:00:00,0.8842,115298.9
2025-09-22 00:00:00,0.865354,114543.7
2025-09-22 01:00:00,0.864072,114332.8
2025-09-22 02:00:00,0.85327,114315.8
2025-09-22 03:00:00,0.855625,114683.1
2025-09-22 04:00:00,0.853812,114475.5
2025-09-22 05:00:00,0.836,113770.0
2025-09-22 06:00:00,0.825002,112906.7
2025-09-22 07:00:00,0.818113,112600.0
2025-09-22 08:00:00,0.821321,112780.0
2025-09-22 09:00:00,0.815147,112400.0
2025-09-22 10:00:00,0.825986,112912.0
2025-09-22 11:00:00,0.822899,112957.1
2025-09-22 12:00:00,0.828209,112825.1
2025-09-22 13:00:00,0.830693,113189.9
2025-09-22 14:00:00,0.825442,113040.1
2025-09-22 15:00:00,0.820714,112925.0
2025-09-22 16:00:00,0.820534,112701.3
2025-09-22 17:00:00,0.822654,112450.1
2025-09-22 18:00:00,0.819201,112527.3
2025-09-22 19:00:00,0.81485,112183.1
2025-09-22 20:00:00,0.823276,112836.6
2025-09-22 21:00:00,0.82742,113000.0
2025-09-22 22:00:00,0.825094,112735.7
2025-09-22 23:00:00,0.825659,112747.8
2025-09-23 00:00:00,0.82324,112510.3
2025-09-23 01:00:00,0.815803,112249.8
2025-09-23 02:00:00,0.810834,111951.0
2025-09-23 03:00:00,0.822801,112389.1
2025-09-23 04:00:00,0.818873,112500.0
2025-09-23 05:00:00,0.819601,112741.7
2025-09-23 06:00:00,0.826901,113056.0
2025-09-23 07:00:00,0.82453,113091.1
2025-09-23 08:00:00,0.826275,113174.9
2025-09-23 09:00:00,0.823082,112979.4
2025-09-23 10:00:00,0.823772,113032.9
2025-09-23 11:00:00,0.822966,113040.2
2025-09-23 12:00:00,0.823809,113000.0
2025-09-23 13:00:00,0.82083,112967.2
