pair,correlation,coint_pvalue,hedge_ratio,half_life_hours,spread_std,is_cointegrated,data_points
LINK-ETH,0.8933013389280476,0.0010436201325097847,0.006032660117938396,15.37716909444961,0.41640907115406117,True,721
DOT-BTC,0.9236303027446345,0.006243996137470143,8.716059919318118e-05,19.911669079864687,0.09586884097978603,True,721
ADA-BTC,0.8353679143436777,0.017325878933365877,1.1272109609257824e-05,33.18758156579706,0.019659855600952278,True,721
LINK-BTC,0.36547261259535346,0.059492691773110264,0.0001277472501484474,35.306171220345384,0.8623776822299861,False,721
DOT-ADA,0.8994215481938644,0.09024371820507049,6.290105209555239,27.365759072486792,0.10932495089948578,False,721
ETH-BTC,0.5323717787602519,0.17736157211296355,0.02755502917002746,38.95665140987684,116.13212745955094,False,721
ADA-ETH,0.7532270064002715,0.23650664907783242,0.0001963665210025095,60.3010920575386,0.02352498779153243,False,721
ADA-LINK,0.7017480361080445,0.3486868636300123,0.027090180333708275,58.92908013707696,0.025480080813833798,False,721
DOT-ETH,0.5262604435723448,0.4396693411508886,0.000959482177037357,111.31679409908853,0.21268667722975726,False,721
DOT-LINK,0.4161310852348675,0.710433855356421,0.11234544548430221,134.14283861554284,0.22743931701230966,False,721
